name, surname, ageInYears
VÍCTOR,VÍCTOR_170,4
VILEN,VILEN_16,0
VISKHAN,VISKHAN_85,20
VOLODOMYR,VOLODOMYR_200,10
WANG,WANG_184,12
WASIL,WASIL_180,16
WEN,WEN_188,8
YACOV,YACOV_44,41
YOSSEF,YOSSEF_200,16
YUE,YUE_109,4
ZACHARIUSZ,ZACHARIUSZ_100,13
ZAKARIYA,ZAKARIYA_21,41
ZAKI,ZAKI_170,38
ABDELGHANI,ABDELGHANI_117,18
ABDELKARIM,ABDELKARIM_160,15
ACHRAF,ACHRAF_176,19
AIMAN,AIMAN_114,6
ALES,ALES_10,28
ALKHAZUR,ALKHAZUR_42,9
ALOK,ALOK_5,28
ALPARSLAN,ALPARSLAN_172,35
ALTER,ALTER_111,13
AMANUEL,AMANUEL_19,6
AMIRKHAN,AMIRKHAN_45,30
ANTAL,ANTAL_74,11
ANTTI,ANTTI_145,34
ANUJ,ANUJ_155,29
ANURAG,ANURAG_79,26
ARKADIJ,ARKADIJ_68,2
ARTEMI,ARTEMI_144,11
ARŪNAS,ARŪNAS_75,21
ARY,ARY_78,36
ATIF,ATIF_19,22
AZAM,AZAM_1,29
BAHTIYOR,BAHTIYOR_138,22
BARTOSCH,BARTOSCH_54,12
BENJAMÍN,BENJAMÍN_195,29
BERKAN,BERKAN_82,14
BEZHAN,BEZHAN_191,40
BIAGIO,BIAGIO_155,18
BIJAY,BIJAY_73,5
CELAL,CELAL_3,0
CEMIL,CEMIL_98,21
CENK,CENK_110,19
CHAN,CHAN_111,8
CHESTER,CHESTER_186,7
CHIRIL,CHIRIL_65,40
CHUKWUEMEKA,CHUKWUEMEKA_90,26
CRISTIN,CRISTIN_60,19
DAMODAR,DAMODAR_64,22
DAMON,DAMON_170,36
DAREN,DAREN_17,38
DAVRON,DAVRON_36,32
DEVRAN,DEVRAN_171,32
DIYAR,DIYAR_85,21
DONIYOR,DONIYOR_25,39
DYMITROS,DYMITROS_149,6
DYTMAR,DYTMAR_19,36
DZIERŻYSŁAW,DZIERŻYSŁAW_90,21
DŻORDAN,DŻORDAN_197,25
ELEFTHERIOS,ELEFTHERIOS_88,2
EOIN,EOIN_49,30
ERDINCH,ERDINCH_59,22
ERMAN,ERMAN_160,40
ERTUĞRUL,ERTUĞRUL_60,22
ESLAM,ESLAM_38,21
EZIO,EZIO_5,35
FAYEZ,FAYEZ_156,5
FEHMI,FEHMI_168,12
FEVZI,FEVZI_39,37
GAUTAM,GAUTAM_142,19
GHENADI,GHENADI_85,17
GOTTHARD,GOTTHARD_134,11
GREGOIRE,GREGOIRE_60,36
GUR,GUR_97,4
HAIK,HAIK_72,24
HANNES,HANNES_15,18
HARDIK,HARDIK_101,12
HASHIM,HASHIM_91,24
HASSEN,HASSEN_2,27
HÉCTOR,HÉCTOR_178,33
HENRIKH,HENRIKH_26,30
HIROKI,HIROKI_19,19
HRANT,HRANT_91,31
IAKIV,IAKIV_172,19
IGNAZIO,IGNAZIO_59,31
ISHAN,ISHAN_98,35
JACUB,JACUB_50,10
JASURBEK,JASURBEK_153,30
JATIN,JATIN_14,41
JAVOKHIR,JAVOKHIR_197,0
JEWGENIJ,JEWGENIJ_112,34
JEYHUN,JEYHUN_103,26
JOSIF,JOSIF_199,41
JUNAID,JUNAID_38,2
JUOZAS,JUOZAS_141,13
JURIJS,JURIJS_112,19
JURY,JURY_127,17
KADİR,KADİR_87,37
KANG,KANG_128,1
KENTARO,KENTARO_34,40
KHAGANI,KHAGANI_91,23
KHURRAM,KHURRAM_172,20
KI,KI_134,28
KIMI,KIMI_116,19
KONDRAD,KONDRAD_15,6
KRISTAPS,KRISTAPS_80,19
KRYSTOF,KRYSTOF_153,22
LEKSO,LEKSO_154,27
LEMA,LEMA_37,36
LESTER,LESTER_105,30
LINO,LINO_8,1
LOKESH,LOKESH_92,38
LONGINUS,LONGINUS_76,20
MẠNH,MẠNH_150,27
MASAYUKI,MASAYUKI_184,1
MATĚJ,MATĚJ_17,21
MATÉO,MATÉO_103,21
MAXENCE,MAXENCE_186,9
MELIK,MELIK_43,21
MICAH,MICAH_7,22
MIR,MIR_21,40
MISZA,MISZA_87,24
MUAMMER,MUAMMER_152,5
MURILO,MURILO_194,25
MÜSLÜM,MÜSLÜM_72,37
MYLES,MYLES_21,13
NAHUM,NAHUM_97,0
NAVID,NAVID_39,10
NICKY,NICKY_93,12
NURULLAH,NURULLAH_127,35
NVER,NVER_117,23
OLOF,OLOF_184,15
OMID,OMID_10,0
OMRY,OMRY_12,11
PAPUNA,PAPUNA_73,2
PATRYCY,PATRYCY_172,27
PAULUS,PAULUS_30,27
PEKKA,PEKKA_83,3
PHOENIX,PHOENIX_86,18
PROMETEUSZ,PROMETEUSZ_164,33
RAIMONDAS,RAIMONDAS_148,41
RAJKO,RAJKO_134,15
RAJKUMAR,RAJKUMAR_6,20
REIMUND,REIMUND_181,1
REINALDO,REINALDO_72,16
REMUS,REMUS_126,18
RENAUD,RENAUD_167,37
RESUL,RESUL_36,29
RIADH,RIADH_127,3
RICK,RICK_137,21
ROCKY,ROCKY_63,27
ROMAS,ROMAS_92,5
RUVIM,RUVIM_186,
RYSHARD,RYSHARD_162,39
SAFET,SAFET_169,18
SAHAR,SAHAR_72,7
SAHIB,SAHIB_88,21
SARAVANAN,SARAVANAN_8,7
SEM,SEM_170,39
SEVASTIAN,SEVASTIAN_35,28
SHAMKHAN,SHAMKHAN_16,11
SHAYAN,SHAYAN_103,0
SHERALI,SHERALI_147,3
SHIVAM,SHIVAM_44,11
SHLOMI,SHLOMI_83,19
SHRAGA,SHRAGA_9,40
SIMÓN,SIMÓN_76,12
STEEN,STEEN_199,19
SUKHROB,SUKHROB_21,16
SULEMAN,SULEMAN_171,8
SULISŁAW,SULISŁAW_169,17
SUNAY,SUNAY_116,28
SUNDAY,SUNDAY_26,18
TADEUS,TADEUS_7,38
TAKIS,TAKIS_21,5
THIEN,THIEN_96,36
THO,THO_192,26
TIMOTHÉ,TIMOTHÉ_118,0
TOGHRUL,TOGHRUL_121,40
TRI,TRI_154,32
TYRONE,TYRONE_114,34
ULVI,ULVI_199,16
ÜMİT,ÜMİT_121,25
URSYN,URSYN_26,9
VAGIF,VAGIF_131,23
VAN HAI,VAN HAI_71,6
VAN TIEN,VAN TIEN_88,18
VAN TUYEN,VAN TUYEN_174,25
VENKATESH,VENKATESH_193,34
VJAČESLAVS,VJAČESLAVS_35,2
VLADYSLAW,VLADYSLAW_33,37
VUK,VUK_46,9
WALENTIN,WALENTIN_98,30
WARCISŁAW,WARCISŁAW_26,26
WASSIM,WASSIM_65,35
WIECZESŁAW,WIECZESŁAW_187,35
WILI,WILI_40,35
XIAO,XIAO_189,16
YAO,YAO_113,14
YASİN,YASİN_194,11
YUAN,YUAN_7,28
ZEFIR,ZEFIR_186,18
ZHANG,ZHANG_147,8
ZHI,ZHI_69,40
AGIL,AGIL_2,33
AHSAN,AHSAN_189,5
AL,AL_162,13
ALASTAIR,ALASTAIR_82,1
ALEXI,ALEXI_37,19
ALGIS,ALGIS_200,40
ALICAN,ALICAN_58,30
ALICJAN,ALICJAN_43,37
ALMAZ,ALMAZ_24,40
AMET,AMET_175,35
AMOR,AMOR_139,9
AN,AN_189,15
ANDRI,ANDRI_104,27
ANDRIA,ANDRIA_22,39
ANDZHEI,ANDZHEI_176,37
ANH TU,ANH TU_200,20
ANH TUẤN,ANH TUẤN_101,14
ANOOP,ANOOP_160,35
ANTANAS,ANTANAS_48,36
ANUAR,ANUAR_60,21
AREG,AREG_182,13
ARMENAK,ARMENAK_87,11
ARSHAK,ARSHAK_60,39
ASHWIN,ASHWIN_122,16
AVISHAY,AVISHAY_166,12
AVNI,AVNI_26,30
AVSHALOM,AVSHALOM_135,5
AYAD,AYAD_160,16
AYUSH,AYUSH_110,12
BABU,BABU_145,4
BASEM,BASEM_14,20
BİLAL,BİLAL_126,7
BOGUSLAW,BOGUSLAW_65,2
BORUCH,BORUCH_61,19
BRONISLAW,BRONISLAW_82,28
CĂLIN,CĂLIN_114,20
CASSIAN,CASSIAN_193,1
CHINH,CHINH_145,38
CIARAN,CIARAN_26,7
CLIFFORD,CLIFFORD_98,39
COLLINS,COLLINS_129,11
CONSTANTINE,CONSTANTINE_142,0
COŞKUN,COŞKUN_123,20
CRUZ,CRUZ_39,11
DALER,DALER_95,33
DAMJAN,DAMJAN_111,18
DARDAN,DARDAN_93,23
DILMUROD,DILMUROD_32,9
DIMO,DIMO_186,37
DIONIS,DIONIS_168,19
DOGAN,DOGAN_158,2
DOMICJAN,DOMICJAN_197,15
EDDIE,EDDIE_139,40
EDI,EDI_30,22
EDIN,EDIN_134,15
EDSON,EDSON_59,9
EDUARDS,EDUARDS_23,27
ELIRAN,ELIRAN_165,4
ELJASZ,ELJASZ_174,1
ELWIR,ELWIR_111,6
ELYES,ELYES_186,40
ENOCH,ENOCH_107,17
ĒRIKS,ĒRIKS_107,9
ERKIN,ERKIN_161,4
ERLEND,ERLEND_147,40
ETAI,ETAI_167,40
FABRICIO,FABRICIO_35,
FAJWEL,FAJWEL_146,2
FARHOD,FARHOD_48,38
FERIT,FERIT_85,20
FORTUNAT,FORTUNAT_39,2
FRANCESC,FRANCESC_87,8
FREDRICK,FREDRICK_140,36
FULVIO,FULVIO_51,16
GADI,GADI_37,22
GAMAL,GAMAL_44,21
GERNOT,GERNOT_142,5
GIANLUIGI,GIANLUIGI_41,11
GIOVANI,GIOVANI_181,31
GIRISH,GIRISH_53,2
GOLAN,GOLAN_44,18
GWALBERT,GWALBERT_147,21
HAGAY,HAGAY_149,18
HAIFENG,HAIFENG_39,29
HANNA,HANNA_12,6
HAYDAR,HAYDAR_62,25
HERVE,HERVE_151,25
HEVORH,HEVORH_70,28
HIKMET,HIKMET_76,3
HILLEL,HILLEL_148,12
HIREN,HIREN_124,20
HITOSHI,HITOSHI_184,11
HUSEIN,HUSEIN_137,3
IÑAKI,IÑAKI_193,30
INTIGAM,INTIGAM_60,9
ISHAY,ISHAY_94,12
IYAD,IYAD_112,24
IZHAK,IZHAK_137,29
JANNIK,JANNIK_176,26
JANOS,JANOS_126,1
JAROSZ,JAROSZ_145,1
JEAN-CHARLES,JEAN-CHARLES_114,3
JEAN-MARIE,JEAN-MARIE_100,24
JEONG,JEONG_34,40
JESÚS,JESÚS_86,35
JIA,JIA_73,41
JOHNY,JOHNY_135,1
JØRGEN,JØRGEN_153,18
JOSIAH,JOSIAH_130,24
JUERGEN,JUERGEN_77,41
JUNJIE,JUNJIE_143,25
KALMAN,KALMAN_165,0
KAYODE,KAYODE_34,10
KELLY,KELLY_104,19
KHIZIR,KHIZIR_3,38
KHOA,KHOA_79,1
KHOI,KHOI_56,
KISHAN,KISHAN_72,19
KISHORE,KISHORE_66,17
LEÓN,LEÓN_114,16
LIDIUSZ,LIDIUSZ_178,4
LUDGER,LUDGER_117,30
MAGDI,MAGDI_2,4
MAJD,MAJD_53,4
MAKHMUD,MAKHMUD_138,25
MẠNH HÙNG,MẠNH HÙNG_8,40
MANPREET,MANPREET_39,41
MASAKI,MASAKI_78,18
MATIN,MATIN_196,33
MATVIEI,MATVIEI_3,37
MATWIJ,MATWIJ_85,38
MÁTYÁS,MÁTYÁS_123,32
MAXIMO,MAXIMO_22,18
MEMET,MEMET_200,12
MICIOS,MICIOS_20,15
MIECZYSLAW,MIECZYSLAW_35,39
MIRIANI,MIRIANI_1,24
MOJSZE,MOJSZE_67,0
MORAD,MORAD_78,30
MOUHAMED,MOUHAMED_11,1
NAOKI,NAOKI_172,6
NAZIR,NAZIR_14,2
NIZAMI,NIZAMI_197,2
NORAYR,NORAYR_125,26
OLENA,OLENA_10,11
OLIMJON,OLIMJON_96,41
OLLI,OLLI_88,15
OM,OM_49,11
ONISE,ONISE_41,31
PROT,PROT_158,39
QING,QING_154,35
RANDALL,RANDALL_39,2
RAOUF,RAOUF_160,25
RAVINDRA,RAVINDRA_7,23
REFAEL,REFAEL_138,8
REHAN,REHAN_111,29
REMCO,REMCO_37,31
REMISŁAW,REMISŁAW_113,5
REYNALDO,REYNALDO_129,30
ROBBERT,ROBBERT_112,41
ROBBIE,ROBBIE_121,34
RODRYK,RODRYK_168,29
RUDRA,RUDRA_96,4
SAJJAD,SAJJAD_195,38
SALAMON,SALAMON_18,20
SATORU,SATORU_158,41
SEMILIANO,SEMILIANO_97,25
ŞEVKET,ŞEVKET_44,37
SHAKIR,SHAKIR_30,6
SHOKHRUKH,SHOKHRUKH_85,30
SLAVKO,SLAVKO_31,39
STAS,STAS_117,14
STERIOS,STERIOS_81,24
SUAT,SUAT_27,29
SUDEEP,SUDEEP_49,12
SULAIMAN,SULAIMAN_107,4
SUN,SUN_187,12
TAMAS,TAMAS_87,35
TANAS,TANAS_199,1
TAOUFIK,TAOUFIK_46,36
TARLAN,TARLAN_34,24
TEIMUR,TEIMUR_54,39
TEODORO,TEODORO_105,20
TEYMUR,TEYMUR_172,17
THADDÄUS,THADDÄUS_158,36
THUAN,THUAN_70,38
TILO,TILO_71,34
TITO,TITO_181,40
TOMIŁ,TOMIŁ_74,36
TRAJAN,TRAJAN_125,8
TSUTOMU,TSUTOMU_41,10
TUOMAS,TUOMAS_5,27
TURGAY,TURGAY_187,20
TYSON,TYSON_161,18
VACHAGAN,VACHAGAN_166,22
VALDAS,VALDAS_30,36
VALENTINE,VALENTINE_147,4
VAN HIEN,VAN HIEN_91,13
VĂN HÙNG,VĂN HÙNG_38,15
VAN MINH,VAN MINH_181,39
VAN NAM,VAN NAM_139,21
VANIK,VANIK_65,33
VLADIMIRS,VLADIMIRS_16,17
VOLODIMIR,VOLODIMIR_77,3
VREZH,VREZH_36,17
WALDY,WALDY_26,21
WANGELIS,WANGELIS_75,5
YAĞIZ,YAĞIZ_90,23
YEVSTAKHII,YEVSTAKHII_196,10
YIFAN,YIFAN_192,6
YINON,YINON_143,32
YOURI,YOURI_139,12
YUTAKA,YUTAKA_174,35
ZEKI,ZEKI_92,23
ZHIQIANG,ZHIQIANG_186,35
ZORESLAV,ZORESLAV_11,20
AAMIR,AAMIR_41,0
AAYAN,AAYAN_29,39
ABDOULAYE,ABDOULAYE_24,40
ABHINAV,ABHINAV_126,31
ADAMO,ADAMO_9,25
AGUS,AGUS_23,23
AIBEK,AIBEK_59,27
ALADYN,ALADYN_51,14
ALEKSANDRO,ALEKSANDRO_54,26
ALFIE,ALFIE_22,13
ALONSO,ALONSO_133,0
AMOL,AMOL_126,33
ANEESH,ANEESH_81,31
ANIBAL,ANIBAL_67,40
APTI,APTI_57,23
ARAVIND,ARAVIND_96,3
ARMANDS,ARMANDS_17,30
ARPAD,ARPAD_39,3
ARTURAS,ARTURAS_76,20
ARVYDAS,ARVYDAS_153,34
ARYE,ARYE_195,25
BALWINDER,BALWINDER_175,3
BARTOLOMEO,BARTOLOMEO_144,5
BATU,BATU_189,28
BILGUUN,BILGUUN_97,31
BOZHIDAR,BOZHIDAR_123,33
CATHAL,CATHAL_150,37
CHAD,CHAD_82,4
CHASKIEL,CHASKIEL_63,17
CHIL,CHIL_114,37
CÔNG,CÔNG_31,17
CORENTIN,CORENTIN_112,23
CRISTOFORO,CRISTOFORO_143,6
CRISTOPHER,CRISTOPHER_29,5
DANKO,DANKO_50,23
DAWYD,DAWYD_98,11
DEVENDRA,DEVENDRA_70,4
DIYAN,DIYAN_169,22
DOAN,DOAN_43,30
DOMINGO,DOMINGO_69,34
DONOVAN,DONOVAN_198,39
DURGA,DURGA_96,35
DYMITRIS,DYMITRIS_136,39
ELISEI,ELISEI_91,27
ESSAM,ESSAM_115,34
EVALDAS,EVALDAS_81,16
EYAD,EYAD_7,35
EYTAN,EYTAN_24,20
FAIG,FAIG_176,23
FAIK,FAIK_165,15
FAZLIDDIN,FAZLIDDIN_85,29
FISZEL,FISZEL_162,10
FREDDIE,FREDDIE_36,11
FRYDOLIN,FRYDOLIN_40,4
GANI,GANI_64,38
GARRY,GARRY_190,4
GENADIJ,GENADIJ_52,2
GHULAM,GHULAM_169,32
GIENADIJ,GIENADIJ_24,34
GIGLA,GIGLA_11,23
GIOELE,GIOELE_24,3
GORGONIUSZ,GORGONIUSZ_186,26
GRACIAN,GRACIAN_133,19
GRAZIANO,GRAZIANO_98,17
HANC,HANC_156,1
HAROON,HAROON_50,41
HARTWIG,HARTWIG_48,17
HERIBERT,HERIBERT_200,16
HERMES,HERMES_143,7
HOSSAIN,HOSSAIN_56,16
HRYHORY,HRYHORY_125,9
IHNATSI,IHNATSI_183,32
ILES,ILES_105,6
ILHAM,ILHAM_22,7
INDRA,INDRA_30,24
INNOCENTY,INNOCENTY_64,6
ISAAK,ISAAK_164,0
JACKY,JACKY_7,33
JAHANGIR,JAHANGIR_128,25
JEAN-LOUIS,JEAN-LOUIS_12,37
JEEVAN,JEEVAN_143,31
JEFFERY,JEFFERY_187,25
JEIKHUN,JEIKHUN_107,11
JEVGENIJ,JEVGENIJ_76,15
JIANFENG,JIANFENG_149,22
JIANXIN,JIANXIN_162,17
JIANZHONG,JIANZHONG_100,31
JOVICA,JOVICA_164,30
JUNG,JUNG_54,30
KAMİL,KAMİL_116,13
KARI,KARI_139,31
KARLHEINZ,KARLHEINZ_7,32
KAROLIS,KAROLIS_153,30
KEI,KEI_174,37
KEISUKE,KEISUKE_97,37
KETAN,KETAN_46,31
KHAI,KHAI_124,12
KHAMID,KHAMID_24,1
KHAVAZHI,KHAVAZHI_137,6
KHUSEIN,KHUSEIN_7,6
KLAUDIUS,KLAUDIUS_87,20
KYONG,KYONG_23,37
LAHCEN,LAHCEN_149,
LAITH,LAITH_185,8
LAMIN,LAMIN_151,29
LECHI,LECHI_23,11
LEOPOLDO,LEOPOLDO_86,30
LIDOR,LIDOR_137,8
LION,LION_78,27
LIUDMYLA,LIUDMYLA_26,1
LJUBOMIR,LJUBOMIR_120,40
LORAN,LORAN_87,20
MANH CUONG,MANH CUONG_156,1
MANIKANDAN,MANIKANDAN_87,7
MAREKS,MAREKS_115,18
MARIIA,MARIIA_162,15
MARSHALL,MARSHALL_164,31
MATI,MATI_186,20
MATTEUS,MATTEUS_131,22
MD.,MD._63,19
MEET,MEET_104,27
MIAN,MIAN_142,33
MILENIUSZ,MILENIUSZ_23,14
MILENKO,MILENKO_68,14
MILOS,MILOS_113,40
MILOSH,MILOSH_74,8
MIRSAD,MIRSAD_133,5
MOH'D,MOH'D_49,7
MORDKO,MORDKO_82,3
MOUSA,MOUSA_98,15
MUBARIZ,MUBARIZ_100,31
MUHSIN,MUHSIN_179,8
MURMANI,MURMANI_190,3
NARINDER,NARINDER_142,21
NAYDEN,NAYDEN_189,5
NEAL,NEAL_80,33
NEHEMIASZ,NEHEMIASZ_121,22
NHAT MINH,NHAT MINH_148,39
NICANOR,NICANOR_14,4
NICKLAS,NICKLAS_2,34
NIKI,NIKI_189,22
NIRAJ,NIRAJ_78,30
NISHAN,NISHAN_102,16
NIYAZI,NIYAZI_40,32
NODIR,NODIR_189,3
NOUR,NOUR_47,41
NURBEK,NURBEK_127,10
OGANES,OGANES_69,19
OKSANA,OKSANA_20,2
OLEKSA,OLEKSA_39,3
OLIN,OLIN_148,21
OŁEKSIJ,OŁEKSIJ_5,0
ONDRASZ,ONDRASZ_135,22
ORESTIS,ORESTIS_139,4
PETRAS,PETRAS_98,37
PETTER,PETTER_165,31
PHI,PHI_86,25
PIERPAOLO,PIERPAOLO_112,26
PRABIN,PRABIN_82,31
QUANG ANH,QUANG ANH_130,14
RAFI,RAFI_180,31
RAMEZ,RAMEZ_40,1
RAMUNAS,RAMUNAS_141,23
REGIS,REGIS_102,30
RIAN,RIAN_101,15
RIDHA,RIDHA_128,0
RIO,RIO_82,40
RIYAD,RIYAD_7,10
ROBERTS,ROBERTS_90,26
ROGERIO,ROGERIO_106,10
ROLANDAS,ROLANDAS_126,32
ROMÁN,ROMÁN_152,29
ROSTYSŁAW,ROSTYSŁAW_110,37
ROWAN,ROWAN_158,19
RÚBEN,RÚBEN_180,18
RUSLANS,RUSLANS_192,12
SADDAM,SADDAM_57,12
SAID-MAGOMED,SAID-MAGOMED_190,23
SALEEM,SALEEM_80,14
SAMAN,SAMAN_199,38
SAMRAT,SAMRAT_73,28
SANDIP,SANDIP_59,28
SARDAR,SARDAR_3,39
SATHISH,SATHISH_101,22
SEMKO,SEMKO_81,31
SEUNG,SEUNG_86,37
SEYMUR,SEYMUR_131,9
SEZER,SEZER_8,16
SHALEV,SHALEV_194,32
SHAN,SHAN_99,25
SHASHANK,SHASHANK_135,34
SHEIKH,SHEIKH_7,21
SHER,SHER_59,33
SHINICHI,SHINICHI_113,12
SHIV,SHIV_154,20
SIEMION,SIEMION_150,13
SIGITAS,SIGITAS_182,2
SILVESTER,SILVESTER_39,14
SOKRATES,SOKRATES_162,10
SÖREN,SÖREN_65,8
SRIKANTH,SRIKANTH_166,40
SRUL,SRUL_29,18
STANKO,STANKO_49,30
ŠTĚPÁN,ŠTĚPÁN_116,34
STERGIOS,STERGIOS_23,29
STJEPAN,STJEPAN_195,38
STRAHIL,STRAHIL_35,21
SULEJMAN,SULEJMAN_14,32
SULIM,SULIM_136,16
SULIMAN,SULIMAN_109,2
SULKHAN,SULKHAN_134,37
SURINDER,SURINDER_14,0
SWIATOSŁAW,SWIATOSŁAW_174,19
SYDNEY,SYDNEY_108,13
TAE,TAE_17,3
TAI,TAI_94,31
TEJAS,TEJAS_65,15
TEODOZY,TEODOZY_53,3
TERJE,TERJE_74,29
THANH BINH,THANH BINH_200,11
THAO,THAO_156,28
TORU,TORU_128,33
TOSHIYUKI,TOSHIYUKI_67,3
TOUFIK,TOUFIK_84,28
TSOTNE,TSOTNE_194,38
ULAŞ,ULAŞ_55,39
UTTAM,UTTAM_74,31
VAN BINH,VAN BINH_32,1
VARUZHAN,VARUZHAN_159,3
VASKO,VASKO_94,31
VATSLAV,VATSLAV_25,39
VITĀLIJS,VITĀLIJS_2,29
VÍTOR,VÍTOR_10,33
VLASTIMIL,VLASTIMIL_98,10
VOLODYA,VOLODYA_18,34
WAHID,WAHID_45,4
WIKTORIAN,WIKTORIAN_145,3
XIAODONG,XIAODONG_38,29
XIAOJUN,XIAOJUN_199,28
XING,XING_39,37
YALÇIN,YALÇIN_153,17
YANAI,YANAI_182,38
YAROMYR,YAROMYR_162,21
YASUHIRO,YASUHIRO_80,28
YE,YE_176,23
YIFTACH,YIFTACH_31,11
YING,YING_17,6
YÜCEL,YÜCEL_17,16
YUSEF,YUSEF_33,19
YVAN,YVAN_193,12
ZAALI,ZAALI_160,7
ZACHARIAH,ZACHARIAH_53,28
ZAURBEK,ZAURBEK_141,33
ZHONG,ZHONG_190,12
ZYGBERT,ZYGBERT_92,12
ZYGMUND,ZYGMUND_26,20
AAKASH,AAKASH_139,2
AASHISH,AASHISH_41,32
ABDELMAJID,ABDELMAJID_39,34
ABDUR,ABDUR_192,39
ABDURAKHMAN,ABDURAKHMAN_102,29
ABHIJEET,ABHIJEET_20,3
ADVIK,ADVIK_6,32
AIVARAS,AIVARAS_81,6
ALEXEJ,ALEXEJ_95,39
ALEXIOS,ALEXIOS_15,32
ALIAKSANDER,ALIAKSANDER_156,30
ALIBEK,ALIBEK_87,0
ALLA,ALLA_99,4
ALPHA,ALPHA_72,6
ALTIN,ALTIN_83,26
AMRITPAL,AMRITPAL_136,13
ANDER,ANDER_107,31
ANDRIJA,ANDRIJA_36,39
ANIELLO,ANIELLO_74,28
ANRI,ANRI_137,24
ANTONÍN,ANTONÍN_107,33
ANUP,ANUP_62,14
ARES,ARES_167,27
ARISTOTELIS,ARISTOTELIS_158,4
ATUL,ATUL_28,38
AYDEN,AYDEN_155,32
AYMERIC,AYMERIC_8,12
BAIRAM,BAIRAM_38,22
BAKARI,BAKARI_161,3
BAYSANGUR,BAYSANGUR_110,40
BEDRI,BEDRI_173,0
BERDIA,BERDIA_98,16
BIDZINA,BIDZINA_188,12
BILGIN,BILGIN_54,25
BJARNE,BJARNE_29,15
BULAT,BULAT_189,33
CAFER,CAFER_23,2
ÇAĞATAY,ÇAĞATAY_18,7
CARMEL,CARMEL_192,0
CAROL,CAROL_9,25
CEYHUN,CEYHUN_6,16
CHAVDAR,CHAVDAR_122,21
CHUKWUDI,CHUKWUDI_9,14
CLIVE,CLIVE_191,3
DAI,DAI_40,5
DAMYAN,DAMYAN_156,35
DANIIEL,DANIIEL_24,0
DANISH,DANISH_153,27
DANIYEL,DANIYEL_25,9
DARIN,DARIN_72,11
DARYL,DARYL_27,31
DAULET,DAULET_60,2
DAVRONBEK,DAVRONBEK_71,17
DEIVID,DEIVID_103,7
DEMIS,DEMIS_183,9
DEMUR,DEMUR_193,16
DHAN,DHAN_104,13
DHIRAJ,DHIRAJ_20,7
DIAN,DIAN_92,18
DIN,DIN_73,19
DRAGO,DRAGO_161,28
DRAGOS,DRAGOS_164,1
DŻOWANI,DŻOWANI_192,23
EBRAHIM,EBRAHIM_76,20
EGIDIJUS,EGIDIJUS_65,38
EITHAN,EITHAN_39,7
EKARD,EKARD_106,27
ELMER,ELMER_87,10
EMRAN,EMRAN_49,25
ENDER,ENDER_56,14
ENDRE,ENDRE_38,35
ERMANNO,ERMANNO_162,15
ERSAN,ERSAN_7,35
ETAN,ETAN_96,15
EVERT,EVERT_127,28
FADY,FADY_105,0
FALKO,FALKO_151,10
FAROUK,FAROUK_45,17
FERDINANDO,FERDINANDO_47,3
FILLIP,FILLIP_140,28
FLORENTIN,FLORENTIN_35,0
FORTUNATO,FORTUNATO_197,12
FRANTISEK,FRANTISEK_83,35
FREDY,FREDY_101,33
FROIM,FROIM_32,6
GAGAN,GAGAN_21,10
GAGANDEEP,GAGANDEEP_150,14
GENNADI,GENNADI_1,36
GERCHARD,GERCHARD_101,23
GERSON,GERSON_25,23
GEVA,GEVA_24,8
GIA HUY,GIA HUY_149,5
GODFREY,GODFREY_175,9
GRZYMISŁAW,GRZYMISŁAW_140,23
GUSEIN,GUSEIN_61,10
HAITHEM,HAITHEM_151,23
HALIM,HALIM_75,0
HANS-DIETER,HANS-DIETER_137,37
HANS-JOACHIM,HANS-JOACHIM_77,2
HARM,HARM_160,36
HARUKI,HARUKI_104,36
HENG,HENG_92,5
HENRICH,HENRICH_147,34
HILMI,HILMI_82,20
HOVSEP,HOVSEP_181,14
HRVOJE,HRVOJE_93,35
HUDSON,HUDSON_40,25
IDRISS,IDRISS_68,15
IGNAC,IGNAC_60,22
IGNAZ,IGNAZ_103,29
IKENNA,IKENNA_114,0
ILKHAM,ILKHAM_83,22
IMRI,IMRI_4,15
IURIY,IURIY_167,26
JAMSHED,JAMSHED_193,19
JAROWIT,JAROWIT_135,25
JASPREET,JASPREET_141,7
JEREMIAS,JEREMIAS_47,24
JIAWEI,JIAWEI_116,1
JOHNSON,JOHNSON_162,37
JOY,JOY_51,24
JUMBERI,JUMBERI_34,26
JURABEK,JURABEK_95,27
KAILASH,KAILASH_97,7
KALLE,KALLE_27,18
KAZIK,KAZIK_102,29
KHANG,KHANG_95,14
KHURSHED,KHURSHED_104,22
KIMMO,KIMMO_107,39
KIRIAKOS,KIRIAKOS_66,38
KOLA,KOLA_139,20
KRISTJAN,KRISTJAN_2,7
KRZESISŁAW,KRZESISŁAW_3,7
KRZESŁAW,KRZESŁAW_93,28
KRZYSŁAW,KRZYSŁAW_35,24
KUTAY,KUTAY_124,22
LACHLAN,LACHLAN_198,22
LAN,LAN_149,18
LAURENŢIU,LAURENŢIU_139,12
LEONE,LEONE_152,39
ĽUBOMÍR,ĽUBOMÍR_118,29
LUKASH,LUKASH_116,8
LUKMAN,LUKMAN_52,9
MADOX,MADOX_123,26
MAËL,MAËL_105,12
MAJDI,MAJDI_47,35
MANUELE,MANUELE_39,27
MARTINS,MARTINS_14,19
